"COUNT";"SPECIES";"YEAR";"RawCOUNT";"SCHEME";"NSITE";"NSITE_OBS";"COL_INDEX";"predicted2";"conf.low";"conf.high"
23;"Nymphalis antiopa";2018;23;"CBMS";67;8;0.320397573642158;0.3513;-2.1890890907006;3.11631779850226
23;"Argynnis sp.";2021;23;"CBMS";95;2;0.451881340667831;0.3513;-2.1890890907006;3.11631779850226
23;"Satyrium w-album";2023;23;"CBMS";109;7;0.199923331071137;0.3513;-2.1890890907006;3.11631779850226
23;"Hipparchia semele";2020;24;"CBMS";81;7;0.291919367619055;0.3513;-2.1890890907006;3.11631779850226
24;"Hesperidae";2021;24;"CBMS";95;12;0.507129839603628;0.3666;-2.17378745193537;3.13156445197728
24;"Pieris ergane";2021;24;"CBMS";95;2;0.30085025832234;0.3666;-2.17378745193537;3.13156445197728
24;"Thymelicus sylvestris";2023;24;"CBMS";109;11;0.234821365724845;0.3666;-2.17378745193537;3.13156445197728
24;"Hipparchia hermione";2023;24;"CBMS";109;1;0.62918559506655;0.3666;-2.17378745193537;3.13156445197728
25;"Callophrys avis";2018;25;"CBMS";67;11;0.357754337410775;0.3819;-2.15848611061485;3.14681140289701
25;"Thymelicus lineola";2019;25;"CBMS";78;1;0.198237560966627;0.3819;-2.15848611061485;3.14681140289701
25;"Euphydryas desfontainii";2020;25;"CBMS";80;1;0.213490096647476;0.3819;-2.15848611061485;3.14681140289701
25;"Carcharodus lavatherae";2021;25;"CBMS";95;6;0.290443975016924;0.3819;-2.15848611061485;3.14681140289701
25;"Hipparchia sp.";2022;25;"CBMS";106;9;0.322554496180724;0.3819;-2.15848611061485;3.14681140289701
25;"Cupido alcetas";2020;25;"CBMS";81;4;0.289499678292533;0.3819;-2.15848611061485;3.14681140289701
26;"Callophrys avis";2021;26;"CBMS";95;8;0.338945781095906;0.3971;-2.14318506674818;3.1620586512706
26;"Tomares ballus";2018;26;"CBMS";67;13;0.770919580880734;0.3971;-2.14318506674818;3.1620586512706
26;"Scolitantides orion";2019;26;"CBMS";NA;NA;NA;0.3971;-2.14318506674818;3.1620586512706
26;"Polyommatus daphnis";2019;26;"CBMS";NA;NA;NA;0.3971;-2.14318506674818;3.1620586512706
