"SPECIES";"genus";"Family";"sp.id";"TAO";"SSI";"WI";"HSI";"FMo_Average";"STI";"SVTI";"OS_ordinal";"Max.Voltinism";"Morphosp"
"Satyrium w-album";"Satyrium";"Lycaenidae";"lycswa";0,635729028;1,711710105;-0,03;0,07;3;8,87;2,39;1;1;""
"Satyrus actaea";"Satyrus";"Satyrinae";"satsac";0,678786947;1,250687114;0,05;0,24;3;11,69;2,45;2;1;""
"Scolitantides orion";"Scolitantides";"Lycaenidae";"lycsor";0,821055678;1,892376047;-0,04;0,33;5;8,98;2,78;3,5;2;""
"Speyeria aglaja";"Speyeria";"Nymphalidae";"nymaag";0,609486897;1,763092297;0,06;0,5;3,5;7,79;2,88862068965517;1,5;1;""
"Spialia sertorius";"Spialia";"Hesperiidae";"hessse";0,745965909;0,926177095;-0,06;1;7;10,127;3,36;2;3;""
"Thecla betulae";"Thecla";"Lycaenidae";"lyctbe";-0,207272468;1,558590574;-0,02;0,13;4,5;8,62;2,31;1;1;""
"Thymelicus acteon";"Thymelicus";"Hesperiidae";"hestac";0,58124338;0,809810461;-0,06;0,12;4,5;11,31;3,23;2;2;""
"Thymelicus lineola";"Thymelicus";"Hesperiidae";"hestli";0,55241075;1,557483089;-0,05;0,07;3,5;8,69;3,19;1;1;""
"Thymelicus sp.";"Thymelicus";"Hesperiidae";"hestsp";0,591521637;1,141094698;-0,05;0,0966666666666667;4,5;9,95666666666667;3,12666666666667;2;1;"Thymelicus"
"Thymelicus sylvestris";"Thymelicus";"Hesperiidae";"hestsy";0,640910781;1,055990544;-0,04;0,1;4,5;9,87;2,96;2;1;""
"Tomares ballus";"Tomares";"Lycaenidae";"lyctba";0,687731255;1,304226839;-0,04;0,13;4;14,91;2,28;3,5;1;""
"Vanessa atalanta";"Vanessa";"Nymphalidae";"nymvat";0,280654684;0,409693277;0,06;0,32;8,5;9,07;3,85;4,5;3;""
"Vanessa cardui";"Vanessa";"Nymphalidae";"nymcca";0,655442281;0,654922667;0,05;0,08;8;9,04;4,12;4,5;3;""
"Zerynthia rumina";"Zerynthia";"Papilionidae";"papzru";0,506036344;0,876655812;0,02;0,58;5;13,87;2,83;3,5;1;""
