"pool";"year";"trait";"value"
"Filtered";2018;"HSI";0,14
"Filtered";2018;"HSI";0,14
"Filtered";2018;"HSI";0,14
"Filtered";2018;"HSI";0,14
"Filtered";2018;"HSI";0,14
"Filtered";2018;"HSI";0,14
"Filtered";2018;"HSI";0,14
"Filtered";2018;"HSI";0,14
"Filtered";2018;"HSI";0,14
"Filtered";2018;"HSI";0,14
"Filtered";2018;"HSI";0,14
"Filtered";2018;"HSI";0,14
"Filtered";2018;"HSI";0,14
"Filtered";2018;"HSI";0,14
"Filtered";2018;"HSI";0,14
"Filtered";2018;"HSI";0,14
"Filtered";2018;"HSI";0,14
"Filtered";2018;"HSI";0,14
"Filtered";2018;"HSI";0,14
"Filtered";2018;"HSI";0,06
"Filtered";2018;"HSI";0,39
"Filtered";2018;"HSI";0,39
"Filtered";2018;"HSI";0,35
"Filtered";2018;"HSI";0,18
"Filtered";2018;"HSI";0,18
"Filtered";2018;"HSI";0,18
"Filtered";2018;"HSI";0,71
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,32
"Filtered";2018;"HSI";0,32
"Filtered";2018;"HSI";0,32
"Filtered";2018;"HSI";0,32
"Filtered";2018;"HSI";0,32
"Filtered";2018;"HSI";0,32
"Filtered";2018;"HSI";0,32
"Filtered";2018;"HSI";0,32
"Filtered";2018;"HSI";0,32
"Filtered";2018;"HSI";0,32
"Filtered";2018;"HSI";0,32
"Filtered";2018;"HSI";0,32
"Filtered";2018;"HSI";0,32
"Filtered";2018;"HSI";0,32
"Filtered";2018;"HSI";0,32
"Filtered";2018;"HSI";0,08
"Filtered";2018;"HSI";0,08
"Filtered";2018;"HSI";0,08
"Filtered";2018;"HSI";0,08
"Filtered";2018;"HSI";0,08
"Filtered";2018;"HSI";0,08
"Filtered";2018;"HSI";0,08
"Filtered";2018;"HSI";0,08
"Filtered";2018;"SSI";0,793119352
"Filtered";2018;"SSI";0,948095744
"Filtered";2018;"SSI";0,948095744
"Filtered";2018;"SSI";0,841756676
"Filtered";2018;"SSI";1,247105553
"Filtered";2018;"SSI";1,247105553
"Filtered";2018;"SSI";1,247105553
"Filtered";2018;"SSI";1,247105553
"Filtered";2018;"SSI";1,247105553
"Filtered";2018;"SSI";1,247105553
"Filtered";2018;"SSI";1,247105553
"Filtered";2018;"SSI";1,247105553
"Filtered";2018;"SSI";1,247105553
"Filtered";2018;"SSI";1,247105553
"Filtered";2018;"SSI";1,247105553
"Filtered";2018;"SSI";1,247105553
"Filtered";2018;"SSI";1,247105553
"Filtered";2018;"SSI";1,247105553
"Filtered";2018;"SSI";1,247105553
"Filtered";2018;"SSI";1,079106671
"Filtered";2018;"SSI";0,525489923
"Filtered";2018;"SSI";0,826210232
"Filtered";2018;"SSI";0,76761504
"Filtered";2018;"SSI";0,76761504
"Filtered";2018;"SSI";0,76761504
"Filtered";2018;"SSI";0,76761504
"Filtered";2018;"SSI";0,76761504
"Filtered";2018;"SSI";0,76761504
"Filtered";2018;"SSI";0,76761504
"Filtered";2018;"SSI";0,76761504
"Filtered";2018;"SSI";0,76761504
"Filtered";2018;"SSI";0,76761504
"Filtered";2018;"SSI";0,76761504
"Filtered";2018;"SSI";0,76761504
"Filtered";2018;"SSI";0,76761504
"Filtered";2018;"SSI";0,76761504
"Filtered";2018;"SSI";0,76761504
"Filtered";2018;"SSI";0,76761504
"Filtered";2018;"SSI";0,76761504
"Filtered";2018;"SSI";1,01932472
"Filtered";2018;"SSI";1,01932472
"Filtered";2018;"SSI";1,01932472
"Filtered";2018;"SSI";0,80060642
"Filtered";2018;"SSI";1,003106909
